Program Index,Program,Program Type,File Reference Type,DDS File,File Usage,Access Type,Device Type,Source File
7911,PDXYPFR,RPG,Database File,CAABREL3IF,Unknown,Full Procedural,DISK,PDXYPFR_RPG.txt
7911,PDXYPFR,RPG,Database File,CABZREL1IF,Unknown,Full Procedural,DISK,PDXYPFR_RPG.txt
7911,PDXYPFR,RPG,Database File,CAADREL1IF,Unknown,Full Procedural,DISK,PDXYPFR_RPG.txt
7911,PDXYPFR,RPG,Database File,PDKNCPL2IF,Unknown,Full Procedural,DISK,PDXYPFR_RPG.txt
7911,PDXYPFR,RPG,Database File,PDJCCPL1IF,Unknown,Full Procedural,DISK,PDXYPFR_RPG.txt
7914,PDXYPVR,RPG,Database File,CAABREL4IF,Unknown,Full Procedural,DISK,PDXYPVR_RPG.txt
7914,PDXYPVR,RPG,Database File,CAABREL3IF,Unknown,Full Procedural,DISK,PDXYPVR_RPG.txt
7914,PDXYPVR,RPG,Database File,CAADREL1IF,Unknown,Full Procedural,DISK,PDXYPVR_RPG.txt
7914,PDXYPVR,RPG,Database File,CABZREL1IF,Unknown,Full Procedural,DISK,PDXYPVR_RPG.txt
7914,PDXYPVR,RPG,Database File,CABZREL7IF,Unknown,Full Procedural,DISK,PDXYPVR_RPG.txt
7914,PDXYPVR,RPG,Database File,OME8REL0IF,Unknown,Full Procedural,DISK,PDXYPVR_RPG.txt
7914,PDXYPVR,RPG,Database File,OME9REL0IF,Unknown,Full Procedural,DISK,PDXYPVR_RPG.txt
